Date,Vendor,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,Vendor_Address,GIK_Per_Unit,Total_GIK
01/01/23,Everything Else,1485,Footwear,Boots,Generic,Gently Used,11,Nashville,"1 Fictional St, Everything Else City, State 01",579.73,860899.05
01/01/23,Everything Else,3176,Footwear,Boots,Generic,Worn,8,Chicago,"1 Fictional St, Everything Else City, State 01",203.67,646855.92
02/01/23,Everything Else,2366,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",613.72,1452061.52
02/01/23,Company 3,8070,Footwear,Sneakers,Generic,Gently Used,7,NY,"4 Fictional St, Company 3 City, State 04",4.13,33329.1
02/01/23,Company 3,2803,Apparel,Shirts,Brand B,Gently Used,XXL,Atlanta,"4 Fictional St, Company 3 City, State 04",60.4,169301.2
02/01/23,Company 14,4517,Footwear,Boots,Brand A,Gently Used,7,Atlanta,"15 Fictional St, Company 14 City, State 15",0.65,2936.05
02/01/23,Company 3,1641,Footwear,Sneakers,Brand C,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",73.39,120432.99
02/01/23,Company 12,5225,Apparel,Coats,Generic,Gently Used,S,LA,"13 Fictional St, Company 12 City, State 13",0,0
02/01/23,Everything Else,2136,Footwear,Sneakers,Brand B,Worn,10,Chicago,"1 Fictional St, Everything Else City, State 01",0.12,256.32
02/01/23,Everything Else,3237,Footwear,Sneakers,Brand B,Gently Used,5,Nashville,"1 Fictional St, Everything Else City, State 01",33.58,108698.46
02/01/23,Company 10,3289,Footwear,Sneakers,Brand B,Gently Used,12,Nashville,"11 Fictional St, Company 10 City, State 11",0.41,1348.49
02/01/23,Everything Else,1810,Apparel,Coats,Brand A,Gently Used,M,Chicago,"1 Fictional St, Everything Else City, State 01",73.51,133053.1
02/01/23,Company 11,1292,Footwear,Sneakers,Generic,Gently Used,9,Nashville,"12 Fictional St, Company 11 City, State 12",130.22,168244.24
02/01/23,Everything Else,4959,Footwear,Boots,Generic,Worn,9,Atlanta,"1 Fictional St, Everything Else City, State 01",27.58,136769.22
03/01/23,Company 14,1364,Footwear,Sneakers,Generic,Gently Used,8,Atlanta,"15 Fictional St, Company 14 City, State 15",0.01,13.64
03/01/23,Company 5,3662,Apparel,Coats,Brand A,Gently Used,L,LA,"6 Fictional St, Company 5 City, State 06",19.34,70823.08
03/01/23,Everything Else,3765,Footwear,Sneakers,Brand A,New,5,Chicago,"1 Fictional St, Everything Else City, State 01",353.39,1330513.35
03/01/23,Company 12,2591,Footwear,Sneakers,Generic,Gently Used,9,Atlanta,"13 Fictional St, Company 12 City, State 13",784.96,2033831.36
03/01/23,Company 10,2827,Apparel,Shirts,Generic,Gently Used,S,Atlanta,"11 Fictional St, Company 10 City, State 11",4.26,12043.02
03/01/23,Everything Else,2588,Footwear,Sneakers,Brand A,Gently Used,8,LA,"1 Fictional St, Everything Else City, State 01",400.47,1036416.36
03/01/23,Company 3,3066,Footwear,Boots,Brand C,Gently Used,8,NY,"4 Fictional St, Company 3 City, State 04",51.32,157347.12
03/01/23,Everything Else,3748,Footwear,Sneakers,Brand B,Gently Used,11,Nashville,"1 Fictional St, Everything Else City, State 01",0.64,2398.72
03/01/23,Everything Else,6556,Apparel,Shirts,Brand C,Gently Used,XXL,Nashville,"1 Fictional St, Everything Else City, State 01",18.82,123383.92
03/01/23,Company 8,4154,Footwear,Sneakers,Brand A,Gently Used,10,Chicago,"9 Fictional St, Company 8 City, State 09",0.41,1703.14
03/01/23,Everything Else,2593,Apparel,Coats,Brand B,Gently Used,XXL,NY,"1 Fictional St, Everything Else City, State 01",863,2237759
03/01/23,Everything Else,1350,Footwear,Sneakers,Generic,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",22.24,30024
03/01/23,Everything Else,2091,Footwear,Sneakers,Brand C,New,12,LA,"1 Fictional St, Everything Else City, State 01",35.43,74084.13
03/01/23,Everything Else,3441,Apparel,Shirts,Brand C,Gently Used,M,Nashville,"1 Fictional St, Everything Else City, State 01",1.96,6744.36
03/01/23,Company 3,2638,Apparel,Coats,Brand A,New,XXL,NY,"4 Fictional St, Company 3 City, State 04",2040.59,5383076.42
03/01/23,Everything Else,2530,Apparel,Coats,Brand A,Gently Used,XL,Nashville,"1 Fictional St, Everything Else City, State 01",121.57,307572.1
03/01/23,Everything Else,2502,Footwear,Sneakers,Brand B,New,9,Atlanta,"1 Fictional St, Everything Else City, State 01",123.32,308546.64
03/01/23,Company 5,2409,Footwear,Boots,Brand A,Gently Used,10,Nashville,"6 Fictional St, Company 5 City, State 06",383.75,924453.75
03/01/23,Company 9,4152,Footwear,Boots,Brand B,Gently Used,9,Nashville,"10 Fictional St, Company 9 City, State 10",3971,16487592
03/01/23,Everything Else,2430,Footwear,Sneakers,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",2.35,5710.5
04/01/23,Everything Else,1915,Footwear,Sneakers,Generic,New,10,LA,"1 Fictional St, Everything Else City, State 01",73,139795
04/01/23,Company 9,1758,Footwear,Boots,Brand A,Gently Used,11,Atlanta,"10 Fictional St, Company 9 City, State 10",46.52,81782.16
04/01/23,Company 2,991,Apparel,Shirts,Brand C,Worn,L,NY,"3 Fictional St, Company 2 City, State 03",21.96,21762.36
04/01/23,Company 5,4536,Footwear,Boots,Brand A,Gently Used,12,Nashville,"6 Fictional St, Company 5 City, State 06",17.1,77565.6
04/01/23,Company 8,1504,Footwear,Sneakers,Brand B,New,11,NY,"9 Fictional St, Company 8 City, State 09",757.67,1139535.68
04/01/23,Company 3,4211,Apparel,Shirts,Brand A,Gently Used,L,LA,"4 Fictional St, Company 3 City, State 04",4.82,20297.02
04/01/23,Everything Else,2927,Footwear,Sneakers,Generic,New,12,NY,"1 Fictional St, Everything Else City, State 01",1416.19,4145188.13
04/01/23,Everything Else,3674,Footwear,Sneakers,Brand B,Gently Used,11,LA,"1 Fictional St, Everything Else City, State 01",0.23,845.02
04/01/23,Everything Else,1367,Apparel,Shirts,Brand C,Gently Used,M,Chicago,"1 Fictional St, Everything Else City, State 01",37.53,51303.51
04/01/23,Company 3,2771,Apparel,Coats,Generic,Gently Used,L,Atlanta,"4 Fictional St, Company 3 City, State 04",9.02,24994.42
04/01/23,Everything Else,5944,Footwear,Sneakers,Generic,New,6,LA,"1 Fictional St, Everything Else City, State 01",2.72,16167.68
04/01/23,Everything Else,2464,Footwear,Sneakers,Brand A,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",0.35,862.4
04/01/23,Company 16,2019,Footwear,Sneakers,Brand C,Gently Used,6,Nashville,"17 Fictional St, Company 16 City, State 17",13.72,27700.68
05/01/23,Company 12,2177,Footwear,Boots,Generic,Worn,7,LA,"13 Fictional St, Company 12 City, State 13",2.25,4898.25
05/01/23,Everything Else,5473,Apparel,Shirts,Brand C,Gently Used,S,Atlanta,"1 Fictional St, Everything Else City, State 01",130.03,711654.19
05/01/23,Company 3,2998,Footwear,Sneakers,Brand C,New,11,Chicago,"4 Fictional St, Company 3 City, State 04",266.03,797557.94
05/01/23,Everything Else,3510,Footwear,Boots,Brand C,Gently Used,9,Nashville,"1 Fictional St, Everything Else City, State 01",388.77,1364582.7
05/01/23,Everything Else,3869,Apparel,Shirts,Brand C,Gently Used,XXL,LA,"1 Fictional St, Everything Else City, State 01",0.11,425.59
05/01/23,Everything Else,841,Footwear,Boots,Brand A,Gently Used,9,Atlanta,"1 Fictional St, Everything Else City, State 01",1.43,1202.63
05/01/23,Everything Else,4274,Footwear,Sneakers,Brand A,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",1279.2,5467300.8
05/01/23,Company 7,1390,Apparel,Shirts,Brand C,Gently Used,XL,NY,"8 Fictional St, Company 7 City, State 08",1.42,1973.8
05/01/23,Company 1,4051,Footwear,Sneakers,Brand C,Worn,10,Nashville,"2 Fictional St, Company 1 City, State 02",83.62,338744.62
05/01/23,Company 4,1931,Footwear,Sneakers,Brand B,Gently Used,6,Atlanta,"5 Fictional St, Company 4 City, State 05",2254.17,4352802.27
05/01/23,Everything Else,2716,Footwear,Sneakers,Brand A,Gently Used,7,NY,"1 Fictional St, Everything Else City, State 01",0.33,896.28
05/01/23,Company 11,4000,Footwear,Sneakers,Brand A,Gently Used,12,NY,"12 Fictional St, Company 11 City, State 12",0.87,3480
05/01/23,Everything Else,5485,Footwear,Sneakers,Brand B,Gently Used,9,NY,"1 Fictional St, Everything Else City, State 01",2859.86,15686332.1
05/01/23,Everything Else,3253,Footwear,Boots,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",14.25,46355.25
06/01/23,Company 9,1980,Footwear,Sneakers,Brand B,Gently Used,12,Nashville,"10 Fictional St, Company 9 City, State 10",37.37,73992.6
06/01/23,Company 3,4418,Footwear,Sneakers,Generic,Gently Used,11,NY,"4 Fictional St, Company 3 City, State 04",0.27,1192.86
06/01/23,Everything Else,3412,Apparel,Shirts,Generic,Gently Used,S,LA,"1 Fictional St, Everything Else City, State 01",23.47,80079.64
06/01/23,Company 3,1756,Apparel,Shirts,Brand A,New,M,Chicago,"4 Fictional St, Company 3 City, State 04",0.26,456.56
06/01/23,Everything Else,1192,Footwear,Boots,Brand B,Gently Used,6,Chicago,"1 Fictional St, Everything Else City, State 01",81.76,97457.92
06/01/23,Everything Else,2013,Footwear,Sneakers,Brand C,Worn,5,Nashville,"1 Fictional St, Everything Else City, State 01",58.38,117518.94
06/01/23,Everything Else,1934,Footwear,Sneakers,Brand C,New,6,Atlanta,"1 Fictional St, Everything Else City, State 01",0.74,1431.16
06/01/23,Company 20,2125,Footwear,Sneakers,Brand A,Worn,5,Chicago,"21 Fictional St, Company 20 City, State 21",27.67,58798.75
06/01/23,Everything Else,2236,Footwear,Sneakers,Brand B,Gently Used,10,NY,"1 Fictional St, Everything Else City, State 01",37.98,84923.28
06/01/23,Company 15,2725,Footwear,Sneakers,Brand C,Gently Used,10,Atlanta,"16 Fictional St, Company 15 City, State 16",0.66,1798.5
06/01/23,Company 5,4361,Footwear,Sneakers,Generic,Gently Used,11,Nashville,"6 Fictional St, Company 5 City, State 06",1787.94,7797206.34
06/01/23,Company 4,3195,Apparel,Coats,Brand C,Gently Used,S,LA,"5 Fictional St, Company 4 City, State 05",61.05,195054.75
06/01/23,Company 5,5125,Apparel,Shirts,Brand C,New,S,Atlanta,"6 Fictional St, Company 5 City, State 06",3.12,15990
06/01/23,Company 15,4683,Footwear,Sneakers,Brand C,Gently Used,6,Nashville,"16 Fictional St, Company 15 City, State 16",304.84,1427565.72
07/01/23,Company 8,1367,Footwear,Boots,Brand C,Gently Used,10,Chicago,"9 Fictional St, Company 8 City, State 09",0.38,519.46
07/01/23,Company 5,3434,Footwear,Sneakers,Brand C,Gently Used,9,Nashville,"6 Fictional St, Company 5 City, State 06",0.82,2815.88
07/01/23,Everything Else,5692,Footwear,Sneakers,Brand A,Gently Used,12,Atlanta,"1 Fictional St, Everything Else City, State 01",29.24,166434.08
07/01/23,Everything Else,3536,Footwear,Sneakers,Generic,Gently Used,10,LA,"1 Fictional St, Everything Else City, State 01",2.28,8062.08
07/01/23,Everything Else,639,Apparel,Shirts,Generic,New,XXL,NY,"1 Fictional St, Everything Else City, State 01",1.76,1124.64
07/01/23,Everything Else,5457,Footwear,Boots,Brand C,Gently Used,10,LA,"1 Fictional St, Everything Else City, State 01",4.68,25538.76
07/01/23,Company 14,5528,Footwear,Sneakers,Brand A,Gently Used,10,NY,"15 Fictional St, Company 14 City, State 15",5.19,28690.32
07/01/23,Everything Else,2477,Footwear,Boots,Generic,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",75.19,186245.63
07/01/23,Company 2,4337,Footwear,Boots,Brand A,Gently Used,12,Nashville,"3 Fictional St, Company 2 City, State 03",15.52,67310.24
07/01/23,Everything Else,1472,Footwear,Sneakers,Brand A,New,9,LA,"1 Fictional St, Everything Else City, State 01",59.65,87804.8
07/01/23,Everything Else,2296,Footwear,Sneakers,Generic,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",1076.07,2470656.72
07/01/23,Company 3,3963,Footwear,Boots,Brand A,New,11,Atlanta,"4 Fictional St, Company 3 City, State 04",75.64,299761.32
07/01/23,Company 3,1663,Apparel,Shirts,Generic,Gently Used,XXL,Nashville,"4 Fictional St, Company 3 City, State 04",8.05,13387.15
07/01/23,Company 16,3076,Apparel,Shirts,Brand C,Gently Used,S,LA,"17 Fictional St, Company 16 City, State 17",41.27,126946.52
07/01/23,Company 2,2380,Apparel,Shirts,Brand B,Gently Used,XXL,Atlanta,"3 Fictional St, Company 2 City, State 03",13.02,30987.6
08/01/23,Everything Else,2036,Apparel,Shirts,Brand C,New,XXL,NY,"1 Fictional St, Everything Else City, State 01",23.58,48008.88
08/01/23,Company 8,4834,Footwear,Sneakers,Brand A,Gently Used,9,Chicago,"9 Fictional St, Company 8 City, State 09",7.62,36835.08
08/01/23,Everything Else,1821,Footwear,Sneakers,Brand C,Gently Used,7,NY,"1 Fictional St, Everything Else City, State 01",4.6,8376.6
08/01/23,Everything Else,5004,Apparel,Coats,Generic,Gently Used,M,Atlanta,"1 Fictional St, Everything Else City, State 01",10.61,53092.44
08/01/23,Company 5,6944,Footwear,Sneakers,Generic,New,11,Atlanta,"6 Fictional St, Company 5 City, State 06",0.03,208.32
08/01/23,Everything Else,2847,Apparel,Shirts,Brand B,Gently Used,M,Nashville,"1 Fictional St, Everything Else City, State 01",2.16,6149.52
08/01/23,Company 3,8557,Footwear,Sneakers,Generic,Gently Used,11,LA,"4 Fictional St, Company 3 City, State 04",5.41,46293.37
08/01/23,Company 4,2196,Footwear,Sneakers,Brand B,New,10,Nashville,"5 Fictional St, Company 4 City, State 05",0.07,153.72
08/01/23,Company 3,3956,Footwear,Boots,Brand C,Gently Used,7,NY,"4 Fictional St, Company 3 City, State 04",29.93,118403.08
08/01/23,Everything Else,1475,Footwear,Sneakers,Brand B,Gently Used,10,Chicago,"1 Fictional St, Everything Else City, State 01",9.56,14101
08/01/23,Company 4,1306,Apparel,Coats,Brand B,Gently Used,XL,NY,"5 Fictional St, Company 4 City, State 05",1.04,1358.24
08/01/23,Company 4,2160,Footwear,Boots,Brand A,Gently Used,7,NY,"5 Fictional St, Company 4 City, State 05",22.64,48902.4
08/01/23,Everything Else,2420,Footwear,Boots,Brand A,Gently Used,12,NY,"1 Fictional St, Everything Else City, State 01",5.13,12414.6
09/01/23,Company 5,4510,Apparel,Shirts,Brand B,Gently Used,L,Nashville,"6 Fictional St, Company 5 City, State 06",106.77,481532.7
09/01/23,Everything Else,1280,Footwear,Boots,Brand C,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",0.09,115.2
09/01/23,Company 4,4707,Apparel,Coats,Brand A,Gently Used,XXL,NY,"5 Fictional St, Company 4 City, State 05",1.5,7060.5
09/01/23,Everything Else,5029,Footwear,Sneakers,Brand A,Gently Used,8,Nashville,"1 Fictional St, Everything Else City, State 01",2.65,13326.85
09/01/23,Everything Else,3141,Footwear,Sneakers,Brand A,Gently Used,8,Atlanta,"1 Fictional St, Everything Else City, State 01",10.04,31535.64
09/01/23,Company 3,4507,Footwear,Sneakers,Brand A,Gently Used,12,LA,"4 Fictional St, Company 3 City, State 04",56.27,253608.89
09/01/23,Everything Else,1861,Apparel,Coats,Generic,New,S,NY,"1 Fictional St, Everything Else City, State 01",10.71,19931.31
09/01/23,Company 2,810,Footwear,Boots,Generic,Gently Used,9,Chicago,"3 Fictional St, Company 2 City, State 03",21.52,17431.2
09/01/23,Company 7,2638,Apparel,Coats,Brand C,New,XL,LA,"8 Fictional St, Company 7 City, State 08",64.96,171364.48
09/01/23,Company 7,1984,Footwear,Boots,Generic,Gently Used,5,Atlanta,"8 Fictional St, Company 7 City, State 08",6118.04,12138191.36
10/01/23,Company 10,2302,Footwear,Sneakers,Generic,New,7,Chicago,"11 Fictional St, Company 10 City, State 11",88.28,203220.56
10/01/23,Company 4,3072,Footwear,Boots,Brand C,Gently Used,6,Chicago,"5 Fictional St, Company 4 City, State 05",41.46,127365.12
10/01/23,Company 4,1593,Footwear,Sneakers,Brand A,New,9,NY,"5 Fictional St, Company 4 City, State 05",2.51,3998.43
10/01/23,Everything Else,2195,Apparel,Shirts,Brand A,Gently Used,XL,Atlanta,"1 Fictional St, Everything Else City, State 01",2.81,6167.95
10/01/23,Everything Else,2915,Apparel,Coats,Brand A,Gently Used,L,Chicago,"1 Fictional St, Everything Else City, State 01",0.63,1836.45
10/01/23,Everything Else,4370,Footwear,Sneakers,Brand A,Gently Used,5,Nashville,"1 Fictional St, Everything Else City, State 01",0.53,2316.1
10/01/23,Company 5,5942,Footwear,Sneakers,Brand C,Gently Used,8,Nashville,"6 Fictional St, Company 5 City, State 06",228.09,1355310.78
10/01/23,Everything Else,3801,Footwear,Sneakers,Brand C,Worn,6,Nashville,"1 Fictional St, Everything Else City, State 01",0.07,266.07
10/01/23,Everything Else,1551,Apparel,Coats,Brand C,Gently Used,L,LA,"1 Fictional St, Everything Else City, State 01",0.72,1116.72
10/01/23,Company 15,2790,Footwear,Sneakers,Brand C,Gently Used,9,Chicago,"16 Fictional St, Company 15 City, State 16",0.45,1255.5
10/01/23,Everything Else,1477,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",3.71,5479.67
10/01/23,Everything Else,1419,Footwear,Sneakers,Brand C,Gently Used,10,Nashville,"1 Fictional St, Everything Else City, State 01",11.81,16758.39
10/01/23,Everything Else,1461,Footwear,Boots,Brand C,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",0.01,14.61
10/01/23,Everything Else,1610,Apparel,Coats,Brand C,Gently Used,XXL,Nashville,"1 Fictional St, Everything Else City, State 01",5.94,9563.4
10/01/23,Company 3,1763,Apparel,Shirts,Brand B,Gently Used,XL,LA,"4 Fictional St, Company 3 City, State 04",0.26,458.38
10/01/23,Company 10,4069,Footwear,Sneakers,Brand A,Gently Used,10,Nashville,"11 Fictional St, Company 10 City, State 11",6.58,26774.02
10/01/23,Company 3,1524,Footwear,Sneakers,Brand C,Gently Used,10,Atlanta,"4 Fictional St, Company 3 City, State 04",0.57,868.68
10/01/23,Company 2,1204,Footwear,Sneakers,Brand C,New,11,Atlanta,"3 Fictional St, Company 2 City, State 03",13.06,15724.24
10/01/23,Everything Else,1812,Footwear,Sneakers,Generic,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",1.25,2265
10/01/23,Everything Else,4718,Apparel,Coats,Brand C,New,L,NY,"1 Fictional St, Everything Else City, State 01",0.21,990.78
11/01/23,Company 4,3191,Footwear,Sneakers,Brand A,New,12,NY,"5 Fictional St, Company 4 City, State 05",31.7,101154.7
11/01/23,Everything Else,1188,Footwear,Boots,Brand C,Gently Used,11,Chicago,"1 Fictional St, Everything Else City, State 01",51.71,61431.48
11/01/23,Company 14,2527,Apparel,Shirts,Brand A,Gently Used,L,Atlanta,"15 Fictional St, Company 14 City, State 15",5.78,14606.06
11/01/23,Everything Else,4923,Footwear,Sneakers,Brand A,Gently Used,7,LA,"1 Fictional St, Everything Else City, State 01",5.42,26682.66
11/01/23,Company 12,3070,Footwear,Sneakers,Brand A,Gently Used,9,LA,"13 Fictional St, Company 12 City, State 13",14.27,43808.9
11/01/23,Company 9,2052,Footwear,Sneakers,Generic,New,6,Chicago,"10 Fictional St, Company 9 City, State 10",98.12,201342.24
11/01/23,Everything Else,6273,Footwear,Sneakers,Brand B,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",7.35,46106.55
11/01/23,Everything Else,3343,Apparel,Coats,Brand B,Gently Used,S,NY,"1 Fictional St, Everything Else City, State 01",1.73,5783.39
11/01/23,Everything Else,5531,Footwear,Boots,Brand A,Gently Used,6,Nashville,"1 Fictional St, Everything Else City, State 01",4.02,22234.62
11/01/23,Everything Else,2850,Footwear,Sneakers,Brand C,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",213.61,608788.5
11/01/23,Everything Else,2749,Footwear,Boots,Brand A,Gently Used,8,LA,"1 Fictional St, Everything Else City, State 01",0.24,659.76
11/01/23,Company 8,3066,Footwear,Sneakers,Generic,Gently Used,9,Nashville,"9 Fictional St, Company 8 City, State 09",3.64,11160.24
11/01/23,Company 13,1512,Apparel,Coats,Brand A,Gently Used,XXL,Atlanta,"14 Fictional St, Company 13 City, State 14",0.69,1043.28
11/01/23,Company 3,1272,Footwear,Sneakers,Brand B,New,6,Chicago,"4 Fictional St, Company 3 City, State 04",2.5,3180
11/01/23,Everything Else,4305,Apparel,Coats,Brand C,Gently Used,S,NY,"1 Fictional St, Everything Else City, State 01",35.8,154119
11/01/23,Company 4,2077,Footwear,Sneakers,Brand C,New,6,Chicago,"5 Fictional St, Company 4 City, State 05",6,12462
12/01/23,Everything Else,5909,Footwear,Boots,Generic,New,5,LA,"1 Fictional St, Everything Else City, State 01",1.36,8036.24
12/01/23,Everything Else,1233,Apparel,Shirts,Brand A,Worn,L,LA,"1 Fictional St, Everything Else City, State 01",1.39,1713.87
12/01/23,Company 4,959,Footwear,Boots,Brand C,Gently Used,6,Chicago,"5 Fictional St, Company 4 City, State 05",0.38,364.42
12/01/23,Everything Else,1525,Footwear,Boots,Brand A,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",2.52,3843
12/01/23,Company 3,2317,Footwear,Sneakers,Brand B,Gently Used,12,Atlanta,"4 Fictional St, Company 3 City, State 04",2.21,5120.57
12/01/23,Company 4,2103,Footwear,Boots,Brand B,Gently Used,9,LA,"5 Fictional St, Company 4 City, State 05",9.63,20251.89
12/01/23,Company 1,2505,Footwear,Boots,Brand B,Gently Used,11,Chicago,"2 Fictional St, Company 1 City, State 02",615.71,1542353.55
12/01/23,Company 14,1543,Footwear,Sneakers,Brand A,Worn,5,Chicago,"15 Fictional St, Company 14 City, State 15",1.78,2746.54
12/01/23,Everything Else,2949,Footwear,Sneakers,Brand C,Gently Used,12,NY,"1 Fictional St, Everything Else City, State 01",5.34,15747.66
12/01/23,Everything Else,4768,Apparel,Coats,Brand A,Gently Used,S,Nashville,"1 Fictional St, Everything Else City, State 01",24.39,116291.52
12/01/23,Company 3,4599,Footwear,Sneakers,Generic,Gently Used,9,NY,"4 Fictional St, Company 3 City, State 04",0.04,183.96
12/01/23,Everything Else,933,Footwear,Sneakers,Brand B,Gently Used,7,Chicago,"1 Fictional St, Everything Else City, State 01",20.45,19079.85
12/01/23,Everything Else,1878,Footwear,Boots,Brand C,Gently Used,8,Nashville,"1 Fictional St, Everything Else City, State 01",103.44,194260.32
12/01/23,Everything Else,1894,Apparel,Shirts,Generic,Gently Used,XL,Atlanta,"1 Fictional St, Everything Else City, State 01",422.71,800612.74
12/01/23,Company 7,3728,Footwear,Sneakers,Brand B,Worn,6,NY,"8 Fictional St, Company 7 City, State 08",1.96,7306.88
12/01/23,Everything Else,3702,Apparel,Coats,Brand C,Gently Used,L,NY,"1 Fictional St, Everything Else City, State 01",3.44,12734.88
12/01/23,Company 10,2632,Apparel,Coats,Brand A,New,S,NY,"11 Fictional St, Company 10 City, State 11",0.16,421.12
12/01/23,Company 15,4310,Apparel,Coats,Brand C,New,S,Nashville,"16 Fictional St, Company 15 City, State 16",10.41,44867.1
12/01/23,Company 2,2506,Apparel,Shirts,Brand B,Gently Used,L,Chicago,"3 Fictional St, Company 2 City, State 03",1.1,2756.6
13/01/23,Everything Else,2448,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",1083.28,2651869.44
13/01/23,Company 3,1410,Footwear,Boots,Brand B,Gently Used,5,NY,"4 Fictional St, Company 3 City, State 04",33.8,47658
13/01/23,Everything Else,1967,Footwear,Sneakers,Brand C,New,6,Atlanta,"1 Fictional St, Everything Else City, State 01",222.56,437775.52
13/01/23,Company 4,4918,Footwear,Sneakers,Brand C,Gently Used,5,Nashville,"5 Fictional St, Company 4 City, State 05",42.79,210441.22
13/01/23,Everything Else,3395,Footwear,Sneakers,Generic,Gently Used,9,Atlanta,"1 Fictional St, Everything Else City, State 01",0.52,1765.4
13/01/23,Everything Else,3551,Apparel,Shirts,Brand A,Gently Used,M,NY,"1 Fictional St, Everything Else City, State 01",1847.15,6559229.65
13/01/23,Company 3,4141,Footwear,Sneakers,Brand C,New,5,Atlanta,"4 Fictional St, Company 3 City, State 04",9.09,37641.69
13/01/23,Everything Else,3581,Footwear,Sneakers,Brand C,New,6,NY,"1 Fictional St, Everything Else City, State 01",0.44,1575.64
13/01/23,Everything Else,2157,Apparel,Shirts,Generic,Gently Used,XXL,Chicago,"1 Fictional St, Everything Else City, State 01",25.84,55736.88
13/01/23,Company 5,2389,Footwear,Sneakers,Brand A,Worn,9,Nashville,"6 Fictional St, Company 5 City, State 06",5646.08,13488485.12
13/01/23,Company 5,4156,Footwear,Boots,Brand B,Gently Used,5,Atlanta,"6 Fictional St, Company 5 City, State 06",5.56,23107.36
13/01/23,Company 3,1617,Apparel,Shirts,Brand B,Gently Used,XXL,Nashville,"4 Fictional St, Company 3 City, State 04",6.26,10122.42
13/01/23,Company 15,2464,Footwear,Boots,Brand C,Gently Used,11,Chicago,"16 Fictional St, Company 15 City, State 16",136.32,335892.48
