Date,Inventory_Level
01/09/23,810667
02/09/23,811155
03/09/23,812077
04/09/23,827596
05/09/23,805569
06/09/23,791664
07/09/23,790760
08/09/23,784664
09/09/23,785573
10/09/23,779519
11/09/23,789985
12/09/23,796184
13/09/23,788831
14/09/23,755157
15/09/23,755050
16/09/23,763078
17/09/23,755190
18/09/23,763377
19/09/23,769858
20/09/23,771595
21/09/23,755400
22/09/23,765428
23/09/23,756773
24/09/23,754187
25/09/23,756906
26/09/23,763238
27/09/23,767966
28/09/23,755434
29/09/23,739859
30/09/23,741106
01/10/23,720085
02/10/23,725651
03/10/23,712332
04/10/23,697461
05/10/23,699582
06/10/23,693750
07/10/23,700263
08/10/23,691492
09/10/23,707626
10/10/23,701776
11/10/23,730387
12/10/23,716797
13/10/23,731993
14/10/23,716279
15/10/23,719997
16/10/23,747784
17/10/23,749031
18/10/23,752823
19/10/23,771265
20/10/23,795299
21/10/23,809568
22/10/23,820858
23/10/23,781446
24/10/23,770352
25/10/23,747118
26/10/23,743559
27/10/23,731600
28/10/23,742150
29/10/23,764176
30/10/23,761811
31/10/23,753169
01/11/23,741046
02/11/23,753329
03/11/23,760035
04/11/23,762534
05/11/23,764769
06/11/23,752639
07/11/23,753010
08/11/23,777649
09/11/23,771658
10/11/23,745500
11/11/23,758466
12/11/23,759680
13/11/23,728610
14/11/23,702712
15/11/23,704240
16/11/23,709347
17/11/23,722775
18/11/23,730776
19/11/23,734531
20/11/23,733628
21/11/23,712634
22/11/23,728092
23/11/23,735211
24/11/23,759029
25/11/23,745518
26/11/23,779776
27/11/23,792228
28/11/23,800562
29/11/23,793768
30/11/23,819703
01/12/23,849890
02/12/23,843993
03/12/23,863206
04/12/23,878707
05/12/23,895630
06/12/23,897820
07/12/23,890730
08/12/23,903042
09/12/23,898978
10/12/23,889800
11/12/23,880837
12/12/23,902738
13/12/23,913179
14/12/23,931914
15/12/23,974686
16/12/23,964841
17/12/23,949316
18/12/23,950721
19/12/23,948314
20/12/23,944357
21/12/23,976012
22/12/23,951783
23/12/23,921168
24/12/23,965468
25/12/23,974542
26/12/23,970776
27/12/23,981442
28/12/23,973144
29/12/23,972356
30/12/23,975482
31/12/23,985037
